Lavadora de Alta Pressão Karcher K1 Black 1600 PSI com Lança de Jato Leque;R$ 329;Casas Bahia
Tênis Vênus 2, Olympikus, Feminino;R$ 124;Amazon
Protetor Solar Facial L’Oréal Paris Solar Expertise Antirrugas FPS 60, 40g;R$ 23;Amazon
Protetor Solar Facial L’Oréal Paris Solar Expertise Antirrugas Com Cor FPS 60, 40g;R$ 27;Amazon
Tênis MIZUNO Way 2 Masculino;R$ 191;Netshoes
FIFINE Ampligame A8 USB Microphone;R$ 251;AliExpress
Fone de ouvido Sem Fio EKSA E1000;R$ 199;AliExpress
Câmera Segurança WiFi 3MP JOOAN;R$ 119;AliExpress
Fone de Ouvido Bluetooth Syllable S101 AptX;R$ 140;AliExpress
Pacote Anual TV EXPRESS;R$ 117;AliExpress
Lustre Clearcrillic Cristal Acrílico Quadrado Perfeito;R$ 32;Extra
Kit Cerveja Stella Artois 1 Long Neck 330 ml + Cálice Stella Artois Oficial;R$ 23;Amazon
Smartphone Samsung Galaxy A03 Core 32GB 4G – Octa-Core 2GB Ram 6,5” Câm 8MP + Selfie 5MP;R$ 719;Magazine
Apple iPhone 14 Pro Max 128GB;R$ 8.369;Casas Bahia
Fritadeira Elétrica sem Óleo/Air Fryer Mondial – AFN40FR Vermelha 4L com Timer;R$ 360;Magazine
Fone de Ouvido Motorola Moto XT 120, Som HD e Microfone – Preto;R$ 89;Amazon
Xiaomi Amazfit Bip U Pro GPS;R$ 168;AliExpress
Mibro A1 Smartwatch Cupom;R$ 128;AliExpress
SSD NVME M.2 XrayDisk;R$ 266;AliExpress
Lenovo ThinkPlus K3 Bluetooth Mini Speaker;R$ 50;AliExpress
Fritadeira Elétrica sem Óleo/Air Fryer Mondial – Family IV AF-30-I Preta 3,5L com Timer;R$ 322;Magazine
Bel Fix 108100 – Piscina Inflável Kiddie com Gomos 26 L, 64 X 25 cm, Várias Cores;R$ 37;Amazon
Piscina de Armação Metal Galvanizado 1.828L;R$ 449;Amazon
Amaciante Downy Concentrado Perfume Collection Místico 1,35L;R$ 18;Amazon
Notebook Dell Inspiron 15 3000 a0700-UM20P 15.6 FHD AMD Ryzen 7 8GB 256GB SSD Linux Preto;R$ 2.759;Magazine
Chamequinho Papel A4, 75 g, 100 Folhas;R$ 4;Amazon
Cooktop 5 Bocas Mondial a Gás GLP Preto – CTG-02;R$ 389;Magazine
Caixa De Som Jbl Boombox 2 Portatil Bluetooth Preto;R$ 2.104;Ponto
Conjunto de Jarra 1L e Copos 300ml de Vidro Haus – Pavillion 7 Peças;R$ 69;Magazine
Papel Higiênico Sublime Folha Dupla, 12 rolos;R$ 17;Amazon
